n,algorithm,array_type,time_us,ops
800,counting,almost_sorted,240.65973333335933,19203.0
900,counting,almost_sorted,250.03750000015162,20103.0
1000,counting,almost_sorted,259.25416666628587,21003.0
1100,counting,almost_sorted,266.54999999967305,21903.0
1200,counting,almost_sorted,275.79306666704423,22803.0
1300,counting,almost_sorted,284.28613333251934,23703.0
1400,counting,almost_sorted,293.5471999999587,24603.0
1500,counting,almost_sorted,300.32360000025926,25503.0
1600,counting,almost_sorted,308.08473333271047,26403.0
1700,counting,almost_sorted,317.1375000003233,27303.0
1800,counting,almost_sorted,325.1749999994521,28203.0
1900,counting,almost_sorted,333.7277666664325,29103.0
2000,counting,almost_sorted,342.50000000023795,30003.0
100,merge,almost_sorted,75.12639999921097,3298.0
200,merge,almost_sorted,168.56666666645498,7713.0
300,merge,almost_sorted,267.0736333338179,12238.0
400,merge,almost_sorted,367.6555333337698,17158.0
500,merge,almost_sorted,465.72220000011083,22093.0
600,merge,almost_sorted,585.5458333333747,26568.0
700,merge,almost_sorted,695.709733333653,32073.0
800,merge,almost_sorted,813.9958333335547,37773.0
900,merge,almost_sorted,922.8152666670061,42988.0
1000,merge,almost_sorted,1032.2111333342339,49013.0
1100,merge,almost_sorted,1164.044433333326,54513.0
1200,merge,almost_sorted,1270.1319333331185,59118.0
1300,merge,almost_sorted,1378.1097333331143,65233.0
1400,merge,almost_sorted,1492.8125000002033,70548.0
1500,merge,almost_sorted,1624.9541666667255,76658.0
1600,merge,almost_sorted,1721.6180666660346,82248.0
1700,merge,almost_sorted,1836.387499999622,88128.0
1800,merge,almost_sorted,1961.712499999635,93663.0
1900,merge,almost_sorted,2075.97640000093,98918.0
2000,merge,almost_sorted,2171.341666666156,104163.0
100,quick,almost_sorted,73.41529999962404,5599.0
200,quick,almost_sorted,161.5972333325999,12951.0
300,quick,almost_sorted,263.72083333304397,21075.0
400,quick,almost_sorted,335.57083333353904,25693.0
500,quick,almost_sorted,460.2139000004021,35325.0
600,quick,almost_sorted,587.4902666666534,45215.0
700,quick,almost_sorted,643.0180333334572,47613.0
800,quick,almost_sorted,812.8805666672179,60775.0
900,quick,almost_sorted,1058.6833333339505,82309.0
1000,quick,almost_sorted,1205.6472333332142,91569.0
1100,quick,almost_sorted,1343.012500000403,100419.0
1200,quick,almost_sorted,1197.9166666662877,86449.0
1300,quick,almost_sorted,1995.0166666670082,156605.0
1400,quick,almost_sorted,1312.2361000000637,90189.0
1500,quick,almost_sorted,1404.433333333562,95785.0
1600,quick,almost_sorted,1538.4041666673436,106581.0
1700,quick,almost_sorted,1562.4791666662456,106831.0
1800,quick,almost_sorted,1713.5500000004338,122251.0
1900,quick,almost_sorted,1728.86109999979,121581.0
2000,quick,almost_sorted,2122.4721999999474,159647.0
100,heap,almost_sorted,91.57916666708843,4976.0
200,heap,almost_sorted,209.74166666671107,11786.0
300,heap,almost_sorted,336.2972000000279,19079.0
400,heap,almost_sorted,479.5347333337456,27032.0
500,heap,almost_sorted,621.4208333337486,35258.0
600,heap,almost_sorted,779.5125000001235,43776.0
700,heap,almost_sorted,938.8250000000653,52679.0
800,heap,almost_sorted,1084.0222333333334,61535.0
900,heap,almost_sorted,1241.2541666662946,70298.0
1000,heap,almost_sorted,1401.9777666665807,79637.0
1100,heap,almost_sorted,1570.0958333326298,88786.0
1200,heap,almost_sorted,1750.123599999635,98348.0
1300,heap,almost_sorted,1905.0347333328923,107357.0
1400,heap,almost_sorted,2071.8861000005973,117302.0
1500,heap,almost_sorted,2245.947233332875,127222.0
1600,heap,almost_sorted,2429.772200000002,136837.0
1700,heap,almost_sorted,2598.2833333339768,146368.0
1800,heap,almost_sorted,2858.066666667014,162603.0
1900,heap,almost_sorted,3142.9097000000183,179217.0
2000,heap,almost_sorted,3397.0444333334626,193471.0
100,shell,almost_sorted,28.640299999930598,2730.0
200,shell,almost_sorted,74.91666666605093,7034.0
300,shell,almost_sorted,127.05970000013167,11586.0
400,shell,almost_sorted,192.86946666644172,16681.0
500,shell,almost_sorted,260.88750000023236,21993.0
600,shell,almost_sorted,330.63469999963974,27285.0
700,shell,almost_sorted,400.6583333326338,32713.0
800,shell,almost_sorted,478.9638666674515,38628.0
900,shell,almost_sorted,552.6041666674548,44524.0
1000,shell,almost_sorted,632.1930666672415,50684.0
1100,shell,almost_sorted,717.4694666664057,57136.0
1200,shell,almost_sorted,812.015266667269,64536.0
1300,shell,almost_sorted,894.5374999996147,71252.0
1400,shell,almost_sorted,983.4124999997586,78076.0
1500,shell,almost_sorted,1061.0138999993524,84104.0
1600,shell,almost_sorted,1146.8860999997332,90644.0
1700,shell,almost_sorted,1219.0777666660324,96740.0
1800,shell,almost_sorted,1314.712499999852,103324.0
1900,shell,almost_sorted,1377.9402666671103,108540.0
2000,shell,almost_sorted,1440.3347333342253,114076.0
100,tim,almost_sorted,29.42776666638262,2053.0
200,tim,almost_sorted,77.59859999983594,5794.0
300,tim,almost_sorted,139.46943333280615,10361.0
400,tim,almost_sorted,189.03749999973724,13772.0
500,tim,almost_sorted,236.52640000004035,17221.0
600,tim,almost_sorted,323.0374999996381,23030.0
700,tim,almost_sorted,375.56249999965985,26771.0
800,tim,almost_sorted,457.36666666584824,31714.0
900,tim,almost_sorted,523.6402666658553,36376.0
1000,tim,almost_sorted,581.9972333341639,40565.0
1100,tim,almost_sorted,716.6541666663306,49690.0
1200,tim,almost_sorted,767.0819333336946,53473.0
1300,tim,almost_sorted,850.5013999998331,58898.0
1400,tim,almost_sorted,893.4333333333673,62485.0
1500,tim,almost_sorted,963.6083333333545,66962.0
1600,tim,almost_sorted,1060.184733333358,73727.0
1700,tim,almost_sorted,1127.88056666678,78439.0
1800,tim,almost_sorted,1218.6083333328195,83996.0
1900,tim,almost_sorted,1263.0999999998949,87827.0
2000,tim,almost_sorted,1370.5166666672615,92446.0
