n,algorithm,array_type,time_us,ops
1300,shell,random,1119.802800000021,82344.0
1400,shell,random,1210.1985999999936,90132.0
1500,shell,random,1283.4013666666997,97248.0
1600,shell,random,1398.2402999999977,105552.0
1700,shell,random,1662.358333333221,112480.0
1800,shell,random,1634.0333333334438,121568.0
1900,shell,random,1718.2735999999938,128012.0
2000,shell,random,1816.6541666666092,135268.0
100,tim,random,62.144433333344296,4807.0
200,tim,random,139.33333333350598,10574.0
300,tim,random,231.02916666672968,17079.0
400,tim,random,323.4375000000493,23498.0
500,tim,random,396.22640000018805,29753.0
600,tim,random,524.0027666665981,38370.0
700,tim,random,614.5375000000305,44899.0
800,tim,random,722.8416666668143,52174.0
900,tim,random,830.2402666664932,59534.0
1000,tim,random,912.5430666666527,66057.0
1100,tim,random,1086.2222333332263,77384.0
1200,tim,random,1179.5041666668264,83579.0
1300,tim,random,1289.0527666667613,91396.0
1400,tim,random,1379.229166666581,97481.0
1500,tim,random,1478.9069666666894,105016.0
1600,tim,random,1612.5485999999967,114139.0
1700,tim,random,1718.727799999916,121185.0
1800,tim,random,1834.3083333334675,129350.0
1900,tim,random,1976.716666666789,136583.0
2000,tim,random,2059.4444666665863,144850.0
100,selection,sorted,114.67223333312404,5446.0
200,selection,sorted,449.6402666665252,20896.0
300,selection,sorted,1015.5597333332859,46346.0
400,selection,sorted,1904.6583333334866,81796.0
500,selection,sorted,3052.1166666666486,127246.0
600,selection,sorted,4332.138900000142,182696.0
700,selection,sorted,5915.194466666662,248146.0
800,selection,sorted,7795.3458333333,323596.0
900,selection,sorted,9960.518066666662,409046.0
1000,selection,sorted,12181.768033333403,504496.0
1100,selection,sorted,14709.41666666666,609946.0
1200,selection,sorted,17558.30556666661,725396.0
1300,selection,sorted,20594.97083333331,850846.0
1400,selection,sorted,24013.525000000158,986296.0
1500,selection,sorted,27585.416666666635,1131746.0
1600,selection,sorted,31211.72776666654,1287196.0
1700,selection,sorted,35146.48333333336,1452646.0
1800,selection,sorted,39477.24166666665,1628096.0
1900,selection,sorted,43921.243066666684,1813546.0
2000,selection,sorted,48651.704166666816,2008996.0
100,bubble,sorted,3.0999999999892225,105.0
200,bubble,sorted,5.816666666665545,205.0
300,bubble,sorted,9.070833333405897,305.0
400,bubble,sorted,12.78056666672948,405.0
500,bubble,sorted,16.83056666668866,505.0
600,bubble,sorted,19.56943333330704,605.0
700,bubble,sorted,21.586100000092756,705.0
800,bubble,sorted,25.431933333427047,805.0
900,bubble,sorted,29.291666666608762,905.0
1000,bubble,sorted,34.46110000003462,1005.0
1100,bubble,sorted,36.401399999874684,1105.0
1200,bubble,sorted,39.92916666675228,1205.0
1300,bubble,sorted,44.50140000002989,1305.0
1400,bubble,sorted,50.64303333336777,1405.0
1500,bubble,sorted,49.673599999996064,1505.0
1600,bubble,sorted,54.11250000004012,1605.0
1700,bubble,sorted,57.75556666662851,1705.0
1800,bubble,sorted,62.949999999991256,1805.0
1900,bubble,sorted,67.34166666670187,1905.0
2000,bubble,sorted,82.64166666667923,2005.0
100,insertion,sorted,4.774999999786663,694.0
200,insertion,sorted,10.183333333439275,1394.0
300,insertion,sorted,15.809733333327358,2094.0
400,insertion,sorted,21.83610000017211,2794.0
500,insertion,sorted,27.219433333414145,3494.0
600,insertion,sorted,33.6416666667579,4194.0
700,insertion,sorted,39.70136666661498,4894.0
800,insertion,sorted,47.00693333343035,5594.0
900,insertion,sorted,51.70693333340637,6294.0
1000,insertion,sorted,59.7472333332405,6994.0
1100,insertion,sorted,64.21110000000377,7694.0
1200,insertion,sorted,70.04583333340975,8394.0
1300,insertion,sorted,77.15276666668085,9094.0
1400,insertion,sorted,83.88749999994616,9794.0
1500,insertion,sorted,88.36386666691473,10494.0
1600,insertion,sorted,94.32223333334377,11194.0
1700,insertion,sorted,101.82083333347691,11894.0
1800,insertion,sorted,107.25276666695056,12594.0
1900,insertion,sorted,113.17640000025146,13294.0
2000,insertion,sorted,118.84026666659035,13994.0
100,counting,sorted,169.27916666702458,12903.0
200,counting,sorted,170.51113333318807,13803.0
300,counting,sorted,202.8930333333771,14703.0
400,counting,sorted,212.03196666685167,15603.0
500,counting,sorted,217.59026666690792,16503.0
600,counting,sorted,226.70833333317356,17403.0
700,counting,sorted,235.34723333303495,18303.0
800,counting,sorted,242.95553333359976,19203.0
900,counting,sorted,251.26806666690982,20103.0
1000,counting,sorted,254.82083333325062,21003.0
1100,counting,sorted,275.56946666654386,21903.0
1200,counting,sorted,274.45000000009634,22803.0
1300,counting,sorted,290.524999999775,23703.0
1400,counting,sorted,298.70833333328994,24603.0
1500,counting,sorted,304.96803333335265,25503.0
1600,counting,sorted,314.47916666659614,26403.0
1700,counting,sorted,321.54166666676554,27303.0
1800,counting,sorted,330.02499999999674,28203.0
1900,counting,sorted,335.55693333321796,29103.0
2000,counting,sorted,344.30973333314796,30003.0
100,merge,sorted,59.777800000423056,2473.0
200,merge,sorted,128.08473333336678,5453.0
300,merge,sorted,200.77779999970366,8593.0
400,merge,sorted,272.1458333335628,11913.0
500,merge,sorted,349.75416666659004,15573.0
600,merge,sorted,432.11946666682854,18693.0
700,merge,sorted,509.0041666666896,22153.0
800,merge,sorted,587.575000000129,25833.0
900,merge,sorted,672.7916666667019,29613.0
1000,merge,sorted,753.3055333330669,33653.0
1100,merge,sorted,844.3653000000495,36993.0
1200,merge,sorted,923.4596999997772,40393.0
1300,merge,sorted,1005.1222333335849,44093.0
1400,merge,sorted,1087.3638666666352,47813.0
1500,merge,sorted,1164.7958333332062,51813.0
1600,merge,sorted,1263.8388999998067,55673.0
1700,merge,sorted,1347.2888666669292,59473.0
1800,merge,sorted,1435.5305666668983,63733.0
1900,merge,sorted,1525.286100000282,67813.0
2000,merge,sorted,1617.0583333329585,72313.0
100,quick,sorted,119.03333333359947,10795.0
200,quick,sorted,444.8708333332737,41067.0
300,quick,sorted,1018.5513666665239,90907.0
400,quick,sorted,1819.9028000002688,160445.0
500,quick,sorted,2910.9902666666208,249849.0
600,quick,sorted,4182.820833333759,358823.0
700,quick,sorted,5679.548599999862,487559.0
800,quick,sorted,7395.01526666686,636039.0
900,quick,sorted,9338.976399999885,803647.0
